"Item Number","Reference/Designator","Qty","Value","Footprint","Description"
"1","Cp1","1","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor"
"2","C4","1","0.1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor"
"3","C6,C10","2","220nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor"
"4","C17,Cboot1","2","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor"
"5","Cp3","1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor"
"6","C7,C12,Cout1,Cout2","4","22uF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","Unpolarized capacitor"
"7","C16,Cvcc1","2","10uF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","Unpolarized capacitor"
"8","Enc1,Enc2,Enc3,Enc4","4","220uF","Capacitor_SMD:CP_Elec_10x10","Unpolarized capacitor"
"9","Chf1","1","150uF","Capacitor_SMD:CP_Elec_8x10.5","Unpolarized capacitor"
"10","5Vout1,5Vout2,EncPWR1,EncPWR2,EncPWR3,EncPWR4,Laser1,LED1,Relay1,Servo1,Servo2","11","330uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Unpolarized capacitor"
"11","C1,C3,C5,C8,C9,C15,Cin1","7","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Unpolarized capacitor"
"12","Cff1","1","B2B-XH-A","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Conn Wire-to-Board Header [X] Pos 2.54mm Straight Thru-Hole - WHITE (5V LMR Out)"
"13","D1","1","B2B-XH-A-BK","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","2 pin Black JST Connectors"
"14","FB1","1","B2B-XH-A-R","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","Conn Wire-to-Board Header [X] Pos 2.54mm Straight Thru-Hole - RED (Fans)"
"15","U4","1","B4B-XH-A_LF__SN_","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","4 pin JST Connectors"
"16","Fan1,Fan2,Fan3,Fan4","4","D_Schottky","Diode_SMD:D_SMC_Handsoldering","Schottky diode"
"17","L1","1","1k@1k","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","Ferrite bead"
"18","Q1,Q2,Q3","3","2.2uH","Inductor_SMD:L_Vishay_IHLP-2525","Inductor"
"19","Flysky1,Flysky2,MDDS30_DIR1,MDDS30_DIR2,MDDS30_PWM1,MDDS30_PWM2","6","LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Light emitting diode"
"20","PWRin1","1","SN74LVC8T245","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs"
"21","R1,R3,R5,R7,Rfbt1","5","AO3400A","Package_TO_SOT_SMD:SOT-23_Handsoldering","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23"
"22","R10","1","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor"
"23","5V_ScrewTerm1,LED2","2","390 ohm","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor"
"24","J15,J16,J17,J18","4","24.9k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor"
"25","R8,R9","2","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor"
"26","R11,R12","2","1.8 kohm","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor"
"27","Rfbb1","1","4.7 kohm","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor"
"28","C2","1","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"29","U3,U5","2","Screw_Terminal_01x12","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-12-2.54_1x12_P2.54mm_Horizontal","Generic screw terminal, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)"
"30","L2","1","XT30PW-M","UGV_Custom:AMASS_XT30PW-M","Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow"
"31","J13","1","XT90PW-M","UGV_Custom:AMASS_XT90PW-M_1x02_P10.90mm_Horizontal","Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow"
"32","12Vout(C)1,12Vout1,BUCKin1,BUCKout1,Contactor1,EByte1,Jetson1,PWRout1,Ubiquiti1","9","LMR33630ADDA","UGV_Custom:LMR33630ADDAR","Simple Switcher Synchronous Buck Regulator, Vin=3.8-36V, Iout=3A, F=400kHz, Adjustable output voltage, HSOP-8"
"33","R2,R4,R6","3","10uH","UGV_Custom:SRR1280-101M","Inductor"
"34","U2","1","Teensy4.1","UGV_Custom:Teensy41","Place Female Header Pins at the place of Teensy"
"35","D2,D3,D4,D5,D6","5","USB3_A","UGV_Custom:USB-3.0-TH_U233-091N-4BLPC17-11","USB 3.0 A connector"
