"Item Number","Reference/Designator","Qty","Value","MPN","Description","Footprint"
"1","5Vout1,5Vout2,EncPWR1,EncPWR2,EncPWR3,EncPWR4,Laser1,LED1,Relay1,Servo1,Servo2","11","B2B-XH-A","","Conn Wire-to-Board Header [X] Pos 2.54mm Straight Thru-Hole - WHITE (5V LMR Out)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"2","5V_ScrewTerm1,LED2","2","Screw_Terminal_01x02","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal"
"3","12Vout(C)1,12Vout1,BUCKin1,BUCKout1,Contactor1,EByte1,Jetson1,PWRout1,Ubiquiti1","9","XT30PW-M","","Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow","UGV_Custom:AMASS_XT30PW-M"
"4","C1,C3,C5,C8,C9,C15,Cin1","7","10uF","","Unpolarized capacitor","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder"
"5","C2","1","100nF","","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"6","C4","1","150uF","","Unpolarized capacitor","Capacitor_SMD:CP_Elec_8x10.5"
"7","C6,C10","2","470uF","","Unpolarized capacitor","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm"
"8","C7,C12,Cout1,Cout2","4","22uF","","Unpolarized capacitor","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder"
"9","C16,Cvcc1","2","1uF","","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"10","C17,Cboot1","2","0.1uF","","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"11","Cff1","1","22pF","","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"12","Chf1","1","220nF","","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"13","Cp1","1","330uF","","Unpolarized capacitor","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"
"14","Cp3","1","220uF","","Unpolarized capacitor","Capacitor_SMD:CP_Elec_10x10"
"15","D1","1","D_Schottky","","Schottky diode","Diode_SMD:D_SMC_Handsoldering"
"16","D2,D3,D4,D5,D6","5","LED","","Light emitting diode","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder"
"17","Enc1,Enc2,Enc3,Enc4","4","B2B-XH-A-BK","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"18","Fan1,Fan2,Fan3,Fan4","4","B2B-XH-A-R","","Conn Wire-to-Board Header [X] Pos 2.54mm Straight Thru-Hole - RED (Fans)","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical"
"19","FB1","1","1k@1k","","Ferrite bead","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"
"20","Flysky1,Flysky2,MDDS30_DIR1,MDDS30_DIR2,MDDS30_PWM1,MDDS30_PWM2","6","B4B-XH-A_LF__SN_","","Conn Wire-to-Board Header 4 Pos 2.54mm Straight Thru-Hole (Flysky RC),Conn Wire-to-Board Header 4 Pos 2.54mm Straight Thru-Hole (MDDS30 Ctrl)","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical"
"21","J13","1","USB3_A","","USB 3.0 A connector","UGV_Custom:USB-3.0-TH_U233-091N-4BLPC17-11"
"22","J15,J16,J17,J18","4","Screw_Terminal_01x12","","Generic screw terminal, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-12-2.54_1x12_P2.54mm_Horizontal"
"23","L1","1","2.2uH","","Inductor","Inductor_SMD:L_Vishay_IHLP-2525"
"24","L2","1","10uH","","Inductor","UGV_Custom:SRR1280-101M"
"25","PWRin1","1","XT90PW-M","","Socket; DC supply; XT30; male; PIN: 2; on PCBs; THT; Colour: yellow","UGV_Custom:AMASS_XT90PW-M_1x02_P10.90mm_Horizontal"
"26","Q1,Q2,Q3","3","AO3400A","","30V Vds, 5.7A Id, N-Channel MOSFET, SOT-23","Package_TO_SOT_SMD:SOT-23_Handsoldering"
"27","R1,R3,R5,R7,Rfbt1","5","100k","","Resistor","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
"28","R2,R4,R6","3","100","","Resistor","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"29","R8,R9","2","1.8 kohm","","Resistor","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"
